id,title,country,points,price,province,variety,winery,Lat,Lng
9981,Williams Selyem 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),US,99,75.00,California,Pinot Noir,Williams Selyem,38.5204049,-122.8667194
1229,Louis Jadot 2005 Clos de la Roche,France,98,138.00,Burgundy,Pinot Noir,Louis Jadot,37.9847984,-122.3131666
1731,Clos de Tart 2005 Clos de Tart,France,98,319.00,Burgundy,Pinot Noir,Clos de Tart,47.1956472,4.9616976
4094,Goldeneye 2007 Ten Degrees Pinot Noir (Anderson Valley),US,98,100.00,California,Pinot Noir,Goldeneye,37.864174,-122.3134576
10072,Williams Selyem 2010 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),US,98,94.00,California,Pinot Noir,Williams Selyem,38.5204049,-122.8667194
16987,Williams Selyem 2013 Westside Road Neighbors Pinot Noir (Russian River Valley),US,98,69.00,California,Pinot Noir,Williams Selyem,38.5204049,-122.8667194
18574,Louis Jadot 2013 Chapelle-Chambertin,France,97,288.00,Burgundy,Pinot Noir,Louis Jadot,37.9847984,-122.3131666
3405,Lynmar 2007 Hawk Hill Vineyard Pinot Noir (Russian River Valley),US,97,70.00,California,Pinot Noir,Lynmar,38.4421027,-122.8445728
15749,Wayfarer 2012 The Traveler Pinot Noir (Fort Ross-Seaview),US,97,150.00,California,Pinot Noir,Wayfarer,37.9808138,-122.3266677
14796,Joseph Drouhin 2012 Grands-Echezeaux,France,97,639.00,Burgundy,Pinot Noir,Joseph Drouhin,45.2655399,-123.0556336
22035,Wayfarer 2014 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),US,98,80.00,California,Chardonnay,Wayfarer,37.9808138,-122.3266677
19313,Louis Jadot Batard-Montrachet Grand Cru 2014 from Puligny-Montrachet,France,98,367.00,Burgundy,Chardonnay,Louis Jadot,37.9847984,-122.3131666
17511,Domaine Jean-Paul et Benoit Droin 2013 Les Clos Grand Cru (Chablis),France,97,69.00,Burgundy,Chardonnay,Domaine Jean-Paul et Benoit Droin,47.8163223,3.8026625
16215,Louis Jadot 2013 Les Demoiselles (Chevalier-Montrachet),France,97,476.00,Burgundy,Chardonnay,Louis Jadot,37.9847984,-122.3131666
5469,Domaine Leflaive 2008 Bienvenues Bâtard-Montrachet,France,97,410.00,Burgundy,Chardonnay,Domaine Leflaive,37.934976,-122.058121
19182,Louis Jadot 2014 Corton-Charlemagne,France,97,184.00,Burgundy,Chardonnay,Louis Jadot,37.9847984,-122.3131666
2522,Domaine Leflaive 2006 Bâtard-Montrachet,France,97,451.00,Burgundy,Chardonnay,Domaine Leflaive,37.934976,-122.058121
18062,Domaine Christian Moreau Père et Fils 2013 Les Clos Grand Cru Cuvée Clos des Hospices (Chablis),France,96,142.00,Burgundy,Chardonnay,Domaine Christian Moreau Père et Fils,47.8159241,3.8047754
13626,Ramey 2012 Hyde Vineyard Chardonnay (Carneros),US,96,65.00,California,Chardonnay,Ramey,38.6035765,-122.8625648
22909,Louis Latour 2015 Bâtard-Montrachet,France,96,400.00,Burgundy,Chardonnay,Louis Latour,38.0173823,-122.5393571
2431,Cardinale 2006 Cabernet Sauvignon (Napa Valley),US,100,200.00,California,Cabernet Sauvignon,Cardinale,38.4308544,-122.3884286
5836,Venge 2008 Family Reserve Cabernet Sauvignon (Oakville),US,99,125.00,California,Cabernet Sauvignon,Venge,38.579574,-122.553434
