id,title,country,points,price,province,variety,winery,count,counts
0,L'Arboc NV 1919 Brut SelecciÃ³ Sparkling (Cava),Spain,88,13.00,Catalonia,Sparkling Blend,L'Arboc,176,41
1,Guidi 1929 2015 Vernaccia di San Gimignano,Italy,87,14.00,Tuscany,Vernaccia,Guidi 1929,33,33
2,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Italy,84,15.00,Central Italy,Sangiovese,Poderi dal Nespoli 1929,524,430
3,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Portugal,93,495.00,Colares,Ramisco,Adega Viuva Gomes,1,1
4,GÃ©rard Bertrand 1945 Legend Vintage Red (Rivesaltes),France,95,350.00,Languedoc-Roussillon,Red Blend,GÃ©rard Bertrand,1726,58
5,Burmester 1952 Colheita Tawny (Port),Portugal,96,415.00,Port,Port,Burmester,86,73
6,Messias 1963 Colheita Tawny (Port),Portugal,96,400.00,Port,Port,Messias,86,73
7,Barros 1974 Colheita Tawny (Port),Portugal,93,175.00,Port,Port,Barros,86,73
8,Kopke 1978 Colheita Tawny (Port),Portugal,94,100.00,Port,Port,Kopke,86,73
9,Adega de Favaios 1980 Moscatel do Douro,Portugal,93,137.00,Moscatel do Douro,Moscatel,Adega de Favaios,9,3
10,Niepoort 1984 Colheita (Port),Portugal,94,100.00,Port,Port,Niepoort,86,73
11,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),US,89,170.00,California,Cabernet Sauvignon,Sebastiani,1845,1432
12,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),France,91,70.00,Champagne,Champagne Blend,Heidsieck & Co Monopole,97,73
13,Burmester 1989 Colheita Tawny (Port),Portugal,93,47.00,Port,Port,Burmester,86,73
14,MoÃ«t & Chandon 1990 Dom PÃ©rignon RosÃ© (Champagne),France,90,290.00,Champagne,Champagne Blend,MoÃ«t & Chandon,97,73
15,Iron Horse 1991 Brut L.D. (Sonoma County),US,93,60.00,California,Champagne Blend,Iron Horse,97,21
16,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),US,88,22.00,California,Champagne Blend,Gloria Ferrer,97,21
17,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),US,91,32.00,California,Champagne Blend,Pacific Echo,97,21
