"id","country","variety","points","price","province","region01"
4,"France","Provence red blend",95,"66","Provence","Bandol"
13,"France","Tannat",95,"90","Southwest France","Madiran"
18,"France","Malbec",95,"290","Southwest France","Cahors"
33,"France","Sparkling Blend",90,"22","France Other","Vin MoUnited Statesseux"
36,"France","Rhône-style White Blend",90,"60","Rhône Valley","Châteauneuf-du-Pape"
44,"France","Syrah",90,"69","Rhône Valley","Cornas"
51,"France","Chardonnay",90,"68","Burgundy","Chassagne-Montrachet"
52,"France","Sauvignon Blanc",90,"42","Loire Valley","Sancerre"
53,"France","Pinot Noir",90,"28","Loire Valley","Coteaux du Giennois"
56,"France","Sauvignon Blanc",90,NULL,"Loire Valley","Sancerre"
63,"France","Chardonnay",91,"45","Burgundy","Chablis"
66,"France","Chardonnay",91,"38","Burgundy","Chablis"
76,"France","Chardonnay",91,"85","Champagne","Champagne"
86,"France","Chardonnay",91,"45","Burgundy","Chablis"
95,"France","Malbec-Merlot",86,"14","Southwest France","Cahors"
98,"France","Merlot-Malbec",86,"15","Southwest France","Buzet"
99,"France","Ugni Blanc-Colombard",86,"10","Southwest France","Côtes de Gascogne"
117,"France","Rosé",86,"20","Southwest France","Gaillac"
118,"France","Gamay",86,"15","Southwest France",NULL
139,"France","Rosé",90,"18","Languedoc-RoUnited Statessillon","Coteaux du Languedoc Pic Saint Loup"
140,"France","Rosé",90,"15","Bordeaux","Bordeaux Rosé"
156,"France","Bordeaux-style Red Blend",89,"20","Southwest France","Cahors"
174,"France","Rhône-style Red Blend",89,"16","Rhône Valley","Côtes du Rhône"
191,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Graves"
192,"France","Bordeaux-style Red Blend",87,"25","Bordeaux","Haut-Médoc"
193,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Saint-Estèphe"
194,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Fronsac"
195,"France","Bordeaux-style Red Blend",87,"25","Bordeaux","Haut-Médoc"
202,"France","Bordeaux-style Red Blend",87,"18","Bordeaux","Haut-Médoc"
203,"France","Bordeaux-style Red Blend",87,"20","Bordeaux","Haut-Médoc"
214,"France","Riesling",93,"39","Alsace","Alsace"
215,"France","Riesling",93,"65","Alsace","Alsace"
218,"France","Riesling",93,"42","Alsace","Alsace"
219,"France","Riesling",93,"61","Alsace","Alsace"
222,"France","Riesling",93,"48","Alsace","Alsace"
225,"France","Bordeaux-style White Blend",93,"120","Bordeaux","Sauternes"
235,"France","Riesling",92,"35","Alsace","Alsace"
236,"France","Riesling",92,"48","Alsace","Alsace"
237,"France","Riesling",92,"55","Alsace","Alsace"
240,"France","Bordeaux-style Red Blend",88,"16","Bordeaux","Blaye Côtes de Bordeaux"
241,"France","Bordeaux-style White Blend",88,"16","Bordeaux","Bordeaux Blanc"
242,"France","Bordeaux-style White Blend",88,NULL,"Bordeaux","Pessac-Léognan"
243,"France","Bordeaux-style Red Blend",88,"15","Bordeaux","Côtes de Bourg"
