id,title,country,points,price,province,variety,winery
0,L'Arboc NV 1919 Brut SelecciÃƒÂ³ Sparkling (Cava),Spain,88,$13.00 ,Catalonia,Sparkling Blend,L'Arboc
1,Guidi 1929 2015 Vernaccia di San Gimignano,Italy,87,$14.00 ,Tuscany,Vernaccia,Guidi 1929
2,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Italy,84,$15.00 ,Central Italy,Sangiovese,Poderi dal Nespoli 1929
3,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Portugal,93,$495.00 ,Colares,Ramisco,Adega Viuva Gomes
4,GÃƒÂ©rard Bertrand 1945 Legend Vintage Red (Rivesaltes),France,95,$350.00 ,Languedoc-Roussillon,Red Blend,GÃƒÂ©rard Bertrand
5,Burmester 1952 Colheita Tawny (Port),Portugal,96,$415.00 ,Port,Port,Burmester
6,Messias 1963 Colheita Tawny (Port),Portugal,96,$400.00 ,Port,Port,Messias
7,Barros 1974 Colheita Tawny (Port),Portugal,93,$175.00 ,Port,Port,Barros
8,Kopke 1978 Colheita Tawny (Port),Portugal,94,$100.00 ,Port,Port,Kopke
9,Adega de Favaios 1980 Moscatel do Douro,Portugal,93,$137.00 ,Moscatel do Douro,Moscatel,Adega de Favaios
10,Niepoort 1984 Colheita (Port),Portugal,94,$100.00 ,Port,Port,Niepoort
11,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),US,89,$170.00 ,California,Cabernet Sauvignon,Sebastiani
12,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),France,91,$70.00 ,Champagne,Champagne Blend,Heidsieck & Co Monopole
13,Burmester 1989 Colheita Tawny (Port),Portugal,93,$47.00 ,Port,Port,Burmester
14,MoÃƒÂ«t & Chandon 1990 Dom PÃƒÂ©rignon RosÃƒÂ© (Champagne),France,90,$290.00 ,Champagne,Champagne Blend,MoÃƒÂ«t & Chandon
15,Iron Horse 1991 Brut L.D. (Sonoma County),US,93,$60.00 ,California,Champagne Blend,Iron Horse
16,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),US,88,$22.00 ,California,Champagne Blend,Gloria Ferrer
17,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),US,91,$32.00 ,California,Champagne Blend,Pacific Echo
18,Kirchmayr 1992 Solist Riesling (Kamptal),Austria,92,$75.00 ,Kamptal,Riesling,Kirchmayr
19,Rex Hill 1993 Oregon,US,86,$24.00 ,Oregon,Champagne Blend,Rex Hill
20,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Germany,90,$26.00 ,Mosel,Riesling,C. von Nell-Breuning
21,Campo Viejo 1994 Gran Reserva (Rioja),Spain,88,$25.00 ,Northern Spain,Red Blend,Campo Viejo
22,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),Italy,93,$140.00 ,Tuscany,White Blend,Fattoria di Grignano
23,Gan Eden 1994 Chardonnay (Sonoma County),US,82,$13.00 ,California,Chardonnay,Gan Eden
24,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),France,89,$48.00 ,Champagne,Champagne Blend,De Saint Gall
25,Drappier 1995 Grand Cru MillÃƒÂ©simÃƒÂ© Blanc de Blancs Brut Chardonnay (Champagne),France,91,NULL,Champagne,Chardonnay,Drappier
26,Soutiran 1995 Grande Cru Brut (Champagne),France,90,$60.00 ,Champagne,Champagne Blend,Soutiran
27,Poggio Antico 1995 Riserva (Brunello di Montalcino),Italy,84,$56.00 ,Tuscany,Sangiovese,Poggio Antico
28,Pacific Echo 1995 Blanc de Blancs (Anderson Valley),US,89,$27.00 ,California,Champagne Blend,Pacific Echo
29,Iron Horse 1995 Russian CuvÃƒÂ©e (Sonoma County),US,89,$26.00 ,California,Champagne Blend,Iron Horse
30,Handley 1995 Blanc de Blancs (Anderson Valley),US,86,$30.00 ,California,Champagne Blend,Handley
31,La Rioja Alta 1995 Gran Reserva 904 (Rioja),Spain,92,$60.00 ,Northern Spain,Tempranillo Blend,La Rioja Alta
